row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,principal_diagnosis_code,diagnosis_description
6286144,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,11,R73,Elevated blood glucose level
6290440,2019,1,Aitkin,MEDICARE,4,65 - 74 years,F,19,R32,Unspecified urinary incontinence
6292576,2019,1,Aitkin,MEDICARE,5,75 years and older,M,341,Z01,"Encntr for oth sp exam w/o complaint, suspected or reprtd dx"
6294256,2019,3,Anoka,COMMERCIAL,1,18 years and under,M,88,Z20,Contact w and (suspected) exposure to communicable diseases
6295936,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,M,49,M23,Internal derangement of knee
6296968,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,F,17,M40,Kyphosis and lordosis
6298072,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,M,39,N48,Other disorders of penis
6300112,2019,3,Anoka,COMMERCIAL,5,75 years and older,F,26,R68,Other general symptoms and signs
6301984,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,154,G47,Sleep disorders
6303136,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,43,I51,Complications and ill-defined descriptions of heart disease
6304240,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,347,I10,Essential (primary) hypertension
6305152,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,13,F30,Manic episode
6305968,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,235,Z74,Problems related to care provider dependency
6307168,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,12,I67,Other cerebrovascular diseases
6310960,2019,3,Anoka,MEDICARE,3,45 - 64 years,F,108,J98,Other respiratory disorders
6312616,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,13,D46,Myelodysplastic syndromes
6313480,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,"4,113",Z23,Encounter for immunization
6314488,2019,3,Anoka,MEDICARE,4,65 - 74 years,M,11,T87,Complications peculiar to reattachment and amputation
6315256,2019,3,Anoka,MEDICARE,5,75 years and older,F,46,N19,Unspecified kidney failure
6316144,2019,3,Anoka,MEDICARE,5,75 years and older,M,11,K70,Alcoholic liver disease
6318952,2019,5,Becker,COMMERCIAL,3,45 - 64 years,F,37,Z13,Encounter for screening for other diseases and disorders
6322048,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,13,L50,Urticaria
6324352,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,13,R79,Other abnormal findings of blood chemistry
6328048,2019,5,Becker,MEDICARE,4,65 - 74 years,F,19,M35,Other systemic involvement of connective tissue
6329608,2019,5,Becker,MEDICARE,5,75 years and older,F,15,M72,Fibroblastic disorders
6332656,2019,7,Beltrami,COMMERCIAL,3,45 - 64 years,F,11,L98,"Oth disorders of skin, subcu, not elsewhere classified"
6334960,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,22,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
6336712,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,12,L23,Allergic contact dermatitis
6338320,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,160,M54,Dorsalgia
6341920,2019,7,Beltrami,MEDICARE,3,45 - 64 years,M,22,G40,Epilepsy and recurrent seizures
6343912,2019,7,Beltrami,MEDICARE,4,65 - 74 years,M,18,S22,"Fracture of rib(s), sternum and thoracic spine"
6345280,2019,7,Beltrami,MEDICARE,5,75 years and older,M,16,L40,Psoriasis
6348112,2019,9,Benton,COMMERCIAL,3,45 - 64 years,F,295,I10,Essential (primary) hypertension
6351352,2019,9,Benton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,11,F50,Eating disorders
6355936,2019,9,Benton,MEDICARE,3,45 - 64 years,M,11,Z86,Personal history of certain other diseases
6358192,2019,9,Benton,MEDICARE,5,75 years and older,M,84,I50,Heart failure
6364048,2019,11,Big Stone,MEDICARE,5,75 years and older,M,21,I08,Multiple valve diseases
6367336,2019,13,Blue Earth,COMMERCIAL,3,45 - 64 years,M,12,R39,Oth and unsp symptoms and signs involving the GU sys
6370240,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,824,Z30,Encounter for contraceptive management
6373216,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,17,Z79,Long term (current) drug therapy
6375808,2019,13,Blue Earth,MEDICARE,3,45 - 64 years,M,26,K76,Other diseases of liver
6377320,2019,13,Blue Earth,MEDICARE,4,65 - 74 years,M,16,I95,Hypotension
6378496,2019,13,Blue Earth,MEDICARE,5,75 years and older,F,12,S46,"Injury of muscle, fascia and tendon at shldr/up arm"
6380944,2019,15,Brown,COMMERCIAL,3,45 - 64 years,F,16,H35,Other retinal disorders
6384664,2019,15,Brown,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,85,Z02,Encounter for administrative examination
6388072,2019,15,Brown,MEDICARE,4,65 - 74 years,F,23,Z86,Personal history of certain other diseases
6389680,2019,15,Brown,MEDICARE,5,75 years and older,M,39,G89,"Pain, not elsewhere classified"
6393520,2019,17,Carlton,COMMERCIAL,4,65 - 74 years,F,11,R73,Elevated blood glucose level
6395728,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,85,O26,Maternal care for oth conditions predom related to pregnancy
6397384,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,14,D50,Iron deficiency anemia
6401008,2019,17,Carlton,MEDICARE,4,65 - 74 years,F,15,G93,Other disorders of brain
6402592,2019,17,Carlton,MEDICARE,5,75 years and older,F,15,I83,Varicose veins of lower extremities
6404488,2019,19,Carver,COMMERCIAL,1,18 years and under,M,18,B09,Unsp viral infection with skin and mucous membrane lesions
6405904,2019,19,Carver,COMMERCIAL,2,19 - 44 years,F,414,Z34,Encounter for supervision of normal pregnancy
6407416,2019,19,Carver,COMMERCIAL,3,45 - 64 years,F,36,S61,"Open wound of wrist, hand and fingers"
6410152,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,34,B07,Viral warts
6412384,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,56,F32,"Major depressive disorder, single episode"
6415888,2019,19,Carver,MEDICARE,3,45 - 64 years,F,12,M53,"Other and unspecified dorsopathies, not elsewhere classified"
6417832,2019,19,Carver,MEDICARE,4,65 - 74 years,M,21,E66,Overweight and obesity
6419128,2019,19,Carver,MEDICARE,5,75 years and older,F,53,R20,Disturbances of skin sensation
6421336,2019,21,Cass,COMMERCIAL,2,19 - 44 years,M,18,R07,Pain in throat and chest
6424936,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,34,K80,Cholelithiasis
6427552,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,14,M54,Dorsalgia
6431032,2019,21,Cass,MEDICARE,4,65 - 74 years,M,172,E78,Disorders of lipoprotein metabolism and other lipidemias
6432472,2019,21,Cass,MEDICARE,5,75 years and older,M,58,D64,Other anemias
6436984,2019,23,Chippewa,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,14,J02,Acute pharyngitis
6441232,2019,23,Chippewa,MEDICARE,5,75 years and older,M,169,Z23,Encounter for immunization
