row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,principal_diagnosis_code,diagnosis_description,diagnosis_version,clm_cnt,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
6286144,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,11,R73,Elevated blood glucose level,0,34,123,"$1,675.96",$152.36,$88.95,"$1,669.96",$151.81,$88.95,$6.00,$0.54,$0.00
6290440,2019,1,Aitkin,MEDICARE,4,65 - 74 years,F,19,R32,Unspecified urinary incontinence,0,83,228,"$6,068.93",$319.41,$145.91,"$5,508.03",$289.89,$105.58,$560.90,$29.52,$0.00
6292576,2019,1,Aitkin,MEDICARE,5,75 years and older,M,341,Z01,"Encntr for oth sp exam w/o complaint, suspected or reprtd dx",0,"1,284","4,053","$95,368.11",$279.67,$162.47,"$85,085.57",$249.51,$154.62,"$10,282.54",$30.15,$0.00
6294256,2019,3,Anoka,COMMERCIAL,1,18 years and under,M,88,Z20,Contact w and (suspected) exposure to communicable diseases,0,210,"1,039","$13,605.49",$154.60,$138.03,"$8,871.58",$100.81,$70.23,"$4,733.91",$53.79,$25.00
6295936,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,M,49,M23,Internal derangement of knee,0,225,554,"$129,155.75","$2,635.83",$664.30,"$93,833.81","$1,914.97",$567.85,"$35,321.94",$720.85,$27.00
6296968,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,F,17,M40,Kyphosis and lordosis,0,38,204,"$28,539.15","$1,678.77",$384.69,"$16,210.39",$953.55,$384.69,"$12,328.76",$725.22,$0.00
6298072,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,M,39,N48,Other disorders of penis,0,162,434,"$119,036.75","$3,052.22",$330.54,"$103,250.59","$2,647.45",$187.48,"$15,786.16",$404.77,$80.00
6300112,2019,3,Anoka,COMMERCIAL,5,75 years and older,F,26,R68,Other general symptoms and signs,0,958,303,"$301,360.43","$11,590.78","$5,834.93","$301,360.43","$11,590.78","$5,834.93",$0.00,$0.00,$0.00
6301984,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,154,G47,Sleep disorders,0,899,"1,799","$111,601.24",$724.68,$164.40,"$111,576.24",$724.52,$164.40,$25.00,$0.16,$0.00
6303136,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,43,I51,Complications and ill-defined descriptions of heart disease,0,101,462,"$7,783.70",$181.01,$50.40,"$7,777.50",$180.87,$50.40,$6.20,$0.14,$0.00
6304240,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,347,I10,Essential (primary) hypertension,0,"1,512","3,816","$59,078.03",$170.25,$94.20,"$57,927.53",$166.93,$91.20,"$1,150.50",$3.31,$0.00
6305152,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,13,F30,Manic episode,0,877,135,"$58,814.06","$4,524.15",$154.51,"$58,810.86","$4,523.91",$154.51,$3.20,$0.24,$0.00
6305968,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,235,Z74,Problems related to care provider dependency,0,"25,924","2,755","$2,095,063.11","$8,915.16",$276.65,"$2,094,723.91","$8,913.71",$276.65,$339.20,$1.44,$0.00
6307168,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,12,I67,Other cerebrovascular diseases,0,"1,044",143,"$174,400.15","$14,533.34",$138.93,"$174,337.45","$14,528.12",$113.93,$62.70,$5.22,$0.00
6310960,2019,3,Anoka,MEDICARE,3,45 - 64 years,F,108,J98,Other respiratory disorders,0,334,"1,209","$22,514.61",$208.46,$31.51,"$20,079.98",$185.92,$22.65,"$2,434.63",$22.54,$2.19
6312616,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,13,D46,Myelodysplastic syndromes,0,991,146,"$102,055.24","$7,850.40","$2,177.87","$91,620.39","$7,047.72","$1,792.10","$10,434.85",$802.68,$282.33
6313480,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,"4,113",Z23,Encounter for immunization,0,"11,162","49,311","$400,490.13",$97.37,$66.81,"$379,022.26",$92.15,$65.82,"$21,467.87",$5.21,$0.00
6314488,2019,3,Anoka,MEDICARE,4,65 - 74 years,M,11,T87,Complications peculiar to reattachment and amputation,0,226,124,"$112,309.45","$10,209.95",$507.50,"$106,777.15","$9,707.01",$507.50,"$5,532.30",$502.93,$0.00
6315256,2019,3,Anoka,MEDICARE,5,75 years and older,F,46,N19,Unspecified kidney failure,0,71,494,"$4,513.70",$98.12,$36.99,"$3,960.86",$86.10,$36.12,$552.84,$12.01,$7.41
6316144,2019,3,Anoka,MEDICARE,5,75 years and older,M,11,K70,Alcoholic liver disease,0,210,104,"$40,837.65","$3,712.51",$198.80,"$39,134.12","$3,557.64",$158.68,"$1,703.53",$154.86,$21.23
6318952,2019,5,Becker,COMMERCIAL,3,45 - 64 years,F,37,Z13,Encounter for screening for other diseases and disorders,0,113,438,"$4,176.61",$112.88,$63.92,"$3,377.64",$91.28,$49.37,$798.97,$21.59,$0.00
6322048,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,13,L50,Urticaria,0,55,141,"$2,809.25",$216.09,$138.41,"$2,794.05",$214.92,$138.41,$15.20,$1.16,$0.00
6324352,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,13,R79,Other abnormal findings of blood chemistry,0,34,142,"$1,327.29",$102.09,$31.75,"$1,327.29",$102.09,$31.75,$0.00,$0.00,$0.00
6328048,2019,5,Becker,MEDICARE,4,65 - 74 years,F,19,M35,Other systemic involvement of connective tissue,0,224,228,"$14,161.40",$745.33,$216.34,"$11,490.30",$604.75,$180.59,"$2,671.10",$140.58,$38.84
6329608,2019,5,Becker,MEDICARE,5,75 years and older,F,15,M72,Fibroblastic disorders,0,54,176,"$7,388.02",$492.53,$189.54,"$6,383.90",$425.59,$151.02,"$1,004.12",$66.94,$30.00
6332656,2019,7,Beltrami,COMMERCIAL,3,45 - 64 years,F,11,L98,"Oth disorders of skin, subcu, not elsewhere classified",0,26,132,"$4,604.95",$418.63,$155.77,"$1,607.21",$146.11,$114.03,"$2,997.74",$272.52,$30.00
6334960,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,22,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",0,51,253,"$10,869.63",$494.07,$224.53,"$10,869.63",$494.07,$224.53,$0.00,$0.00,$0.00
6336712,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,12,L23,Allergic contact dermatitis,0,26,136,"$2,049.85",$170.82,$150.32,"$2,007.89",$167.32,$148.82,$41.96,$3.49,$3.00
6338320,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,160,M54,Dorsalgia,0,"2,378","1,822","$182,588.96","$1,141.18",$317.20,"$181,647.46","$1,135.29",$317.20,$941.50,$5.88,$0.00
6341920,2019,7,Beltrami,MEDICARE,3,45 - 64 years,M,22,G40,Epilepsy and recurrent seizures,0,310,264,"$42,585.32","$1,935.69",$294.84,"$36,084.11","$1,640.18",$230.57,"$6,501.21",$295.50,$65.24
6343912,2019,7,Beltrami,MEDICARE,4,65 - 74 years,M,18,S22,"Fracture of rib(s), sternum and thoracic spine",0,270,202,"$38,034.03","$2,113.00","$1,553.42","$31,380.55","$1,743.36","$1,260.11","$6,653.48",$369.63,$170.10
6345280,2019,7,Beltrami,MEDICARE,5,75 years and older,M,16,L40,Psoriasis,0,224,192,"$48,442.28","$3,027.64",$182.47,"$41,490.30","$2,593.14",$142.79,"$6,951.98",$434.49,$41.97
6348112,2019,9,Benton,COMMERCIAL,3,45 - 64 years,F,295,I10,Essential (primary) hypertension,0,"1,330","3,445","$48,694.22",$165.06,$90.81,"$23,037.50",$78.09,$18.38,"$25,656.72",$86.97,$31.92
6351352,2019,9,Benton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,11,F50,Eating disorders,0,342,130,"$80,774.88","$7,343.17",$316.24,"$80,774.88","$7,343.17",$316.24,$0.00,$0.00,$0.00
6355936,2019,9,Benton,MEDICARE,3,45 - 64 years,M,11,Z86,Personal history of certain other diseases,0,39,132,$826.95,$75.17,$66.35,$456.94,$41.54,$20.04,$370.01,$33.63,$5.32
